month,sales_volume,sales_value
2016-09-01,3,134.97
2016-10-01,317,40451.8
2016-11-01,0,0.0
2016-12-01,1,10.9
2017-01-01,924,112573.39
2017-02-01,1869,235483.4
2017-03-01,2917,360865.25
2017-04-01,2577,341209.62
2017-05-01,4048,492620.44
2017-06-01,3524,425387.66
2017-07-01,4460,484637.74
2017-08-01,4851,559317.01
2017-09-01,4771,609750.15
2017-10-01,5256,651438.5
2017-11-01,8537,995199.9400000001
2017-12-01,6214,728836.17
2018-01-01,8088,930026.9400000001
2018-02-01,7617,835720.63
2018-03-01,8064,956923.96
2018-04-01,7838,975779.41
2018-05-01,7819,978065.68
2018-06-01,7016,856909.79
2018-07-01,6985,869842.48
2018-08-01,7144,838650.76
